Front,Back,Tags
"What is a <b>harmonic interval</b>?","Two notes played at the same time (stacked vertically on the staff)","lesson::002 type::vocabulary topic::intervals"
"What do we call two notes played at the same time?","A harmonic interval","lesson::002 type::vocabulary topic::intervals"
"What is a <b>melodic interval</b>?","Two notes played one after another (in sequence)","lesson::002 type::vocabulary topic::intervals"
"What do we call two notes played one after another in sequence?","A melodic interval","lesson::002 type::vocabulary topic::intervals"
"What is <b>interval inversion</b>?","""Flipping"" an interval by moving one note up or down an octave","lesson::002 type::vocabulary topic::intervals"
"What is the term for ""flipping"" an interval by moving one note up or down an octave?","Interval inversion","lesson::002 type::vocabulary topic::intervals"
"What is a <b>frequency ratio</b>?","The mathematical relationship between the vibrations of two pitches","lesson::002 type::vocabulary topic::acoustics"
"What do we call the mathematical relationship between the vibrations of two pitches?","Frequency ratio","lesson::002 type::vocabulary topic::acoustics"
"What are <b>parallel keys</b>?","Major and minor keys that share the same starting note (e.g., C major & C minor)","lesson::002 type::vocabulary topic::keys"
"What do we call major and minor keys that share the same starting note?","Parallel keys","lesson::002 type::vocabulary topic::keys"
"How many notes are in a <b>chromatic scale</b>?","12 notes (all half steps)","lesson::002 type::concept topic::scales"
"How many notes are in a <b>major scale</b>?","7 notes (plus the octave = 8 scale degrees)","lesson::002 type::concept topic::scales"
"How many whole steps and half steps are in a major scale?","5 whole steps and 2 half steps","lesson::002 type::concept topic::scales"
"When you hear a <b>harmonic interval</b>, what does it sound like?","A chord (notes played simultaneously)","lesson::002 type::concept topic::intervals"
"When you hear a <b>melodic interval</b>, what does it sound like?","A melody (notes played in sequence)","lesson::002 type::concept topic::intervals"
"When you invert an interval, what do the two interval numbers always add up to?","9","lesson::002 type::concept topic::intervals"
"A 2nd inverts to what interval?","A 7th (2 + 7 = 9)","lesson::002 type::concept topic::intervals"
"A 3rd inverts to what interval?","A 6th (3 + 6 = 9)","lesson::002 type::concept topic::intervals"
"A 4th inverts to what interval?","A 5th (4 + 5 = 9)","lesson::002 type::concept topic::intervals"
"A 6th inverts to what interval?","A 3rd (6 + 3 = 9)","lesson::002 type::concept topic::intervals"
"A 7th inverts to what interval?","A 2nd (7 + 2 = 9)","lesson::002 type::concept topic::intervals"
"What happens to <b>consonance/dissonance</b> when an interval is inverted?","It is preserved (2nds and 7ths are both dissonant; 3rds and 6ths are both consonant)","lesson::002 type::concept topic::intervals"
"What happens to interval <b>quality</b> (Major/minor) when inverted?","Major becomes minor, and minor becomes Major (e.g., M3 → m6)","lesson::002 type::concept topic::intervals"
"What happens to <b>Perfect</b> intervals when inverted?","They stay Perfect (P4 ↔ P5)","lesson::002 type::concept topic::intervals"
"A Major 3rd inverts to what?","A minor 6th","lesson::002 type::concept topic::intervals"
"A minor 3rd inverts to what?","A Major 6th","lesson::002 type::concept topic::intervals"
"Which intervals are <b>consonant</b> (stable)?","Unison, octave, Perfect 5th, Perfect 4th, Major & minor 3rds, Major & minor 6ths","lesson::002 type::concept topic::expression"
"Which intervals are <b>dissonant</b> (tense)?","Major & minor 2nds, Major & minor 7ths, tritone (augmented 4th / diminished 5th)","lesson::002 type::concept topic::expression"
"What is the frequency ratio of an <b>octave</b>?","2:1 (most consonant; waves align perfectly)","lesson::002 type::concept topic::acoustics"
"What is the frequency ratio of a <b>Perfect 5th</b>?","3:2 (very consonant; simple ratio)","lesson::002 type::concept topic::acoustics"
"What is the frequency ratio of a <b>Perfect 4th</b>?","4:3","lesson::002 type::concept topic::acoustics"
"What is the frequency ratio of a <b>Major 3rd</b>?","5:4 (sweet, warm sound)","lesson::002 type::concept topic::acoustics"
"What is the frequency ratio of a <b>minor 3rd</b>?","6:5 (darker but still consonant)","lesson::002 type::concept topic::acoustics"
"Why do simpler frequency ratios sound more consonant?","The sound waves align more perfectly; complex ratios create more dissonance","lesson::002 type::concept topic::acoustics"
"Which interval has the frequency ratio 2:1?","Octave","lesson::002 type::concept topic::acoustics"
"Which interval has the frequency ratio 3:2?","Perfect 5th","lesson::002 type::concept topic::acoustics"
"In what order are <b>sharps</b> added on the Circle of Fifths?","F♯ → C♯ → G♯ → D♯ → A♯ → E♯ → B♯","lesson::002 type::concept topic::keys"
"In what order are <b>flats</b> added on the Circle of Fifths?","B♭ → E♭ → A♭ → D♭ → G♭ → C♭ → F♭","lesson::002 type::concept topic::keys"
"How many sharps does <b>G major</b> have, and which ones?","1 sharp: F♯","lesson::002 type::concept topic::keys"
"How many sharps does <b>D major</b> have, and which ones?","2 sharps: F♯, C♯","lesson::002 type::concept topic::keys"
"How many sharps does <b>A major</b> have, and which ones?","3 sharps: F♯, C♯, G♯","lesson::002 type::concept topic::keys"
"How many sharps does <b>E major</b> have, and which ones?","4 sharps: F♯, C♯, G♯, D♯","lesson::002 type::concept topic::keys"
"How many flats does <b>F major</b> have, and which ones?","1 flat: B♭","lesson::002 type::concept topic::keys"
"How many flats does <b>B♭ major</b> have, and which ones?","2 flats: B♭, E♭","lesson::002 type::concept topic::keys"
"How many flats does <b>E♭ major</b> have, and which ones?","3 flats: B♭, E♭, A♭","lesson::002 type::concept topic::keys"
"How many flats does <b>A♭ major</b> have, and which ones?","4 flats: B♭, E♭, A♭, D♭","lesson::002 type::concept topic::keys"
"What do <b>relative keys</b> share?","The same key signature (but different starting notes)","lesson::002 type::concept topic::keys"
