"<img src=""a-flat-minor.png""><br>Minor key?",a-flat-minor
"<img src=""a-minor.png""><br>Minor key?",A Minor
"<img src=""a-sharp-minor.png""><br>Minor key?",A♯ Minor
"<img src=""a-sharp-minor.png""><br>Minor key?",B♭ Minor
"<img src=""b-flat-minor.png""><br>Minor key?",B♭ Minor
"<img src=""b-flat-minor.png""><br>Minor key?",A♯ Minor
"<img src=""b-minor.png""><br>Minor key?",B Minor
"<img src=""c-minor.png""><br>Minor key?",C Minor
"<img src=""c-sharp-minor.png""><br>Minor key?",C♯ Minor
"<img src=""d-minor.png""><br>Minor key?",D Minor
"<img src=""d-sharp-minor.png""><br>Minor key?",D♯ Minor
"<img src=""d-sharp-minor.png""><br>Minor key?",E♭ Minor
"<img src=""e-flat-minor.png""><br>Minor key?",E♭ Minor
"<img src=""e-flat-minor.png""><br>Minor key?",D♯ Minor
"<img src=""e-minor.png""><br>Minor key?",E Minor
"<img src=""f-minor.png""><br>Minor key?",F Minor
"<img src=""f-sharp-minor.png""><br>Minor key?",F♯ Minor
"<img src=""g-minor.png""><br>Minor key?",G Minor
"<img src=""g-sharp-minor.png""><br>Minor key?",G♯ Minor
"<img src=""g-sharp-minor.png""><br>Minor key?",A♭ Minor
