Front,Back,Tags
"What is a <b>sharp</b> (♯)?","A symbol that raises a note by one half step","lesson::001 type::vocabulary topic::basics"
"Which symbol raises a note by one half step?","A sharp (♯)","lesson::001 type::vocabulary topic::basics"
"What is a <b>flat</b> (♭)?","A symbol that lowers a note by one half step","lesson::001 type::vocabulary topic::basics"
"Which symbol lowers a note by one half step?","A flat (♭)","lesson::001 type::vocabulary topic::basics"
"What is a <b>half step</b>?","The smallest interval in Western music; the distance from one key to the very next key (white or black). Also called a semitone.","lesson::001 type::vocabulary topic::intervals"
"What is the smallest interval in Western music?","A half step (semitone)","lesson::001 type::vocabulary topic::intervals"
"What is a <b>whole step</b>?","Two half steps; skip one key to get to the next","lesson::001 type::vocabulary topic::intervals"
"How many half steps are in a whole step?","Two half steps","lesson::001 type::vocabulary topic::intervals"
"What is a <b>scale degree</b>?","The position of a note within a scale, numbered 1–7 (e.g., in C major, E is the 3rd degree)","lesson::001 type::vocabulary topic::scales"
"What do we call the numbered position (1–7) of a note within a scale?","Scale degree","lesson::001 type::vocabulary topic::scales"
"What is a <b>chromatic scale</b>?","A scale made entirely of half steps (all 12 notes)","lesson::001 type::vocabulary topic::scales"
"Which scale uses all 12 notes and moves entirely by half steps?","The chromatic scale","lesson::001 type::vocabulary topic::scales"
"What are <b>relative keys</b>?","A major and minor key that share the same key signature (e.g., C major and A minor)","lesson::001 type::vocabulary topic::keys"
"What do we call a major and minor key that share the same key signature?","Relative keys","lesson::001 type::vocabulary topic::keys"
"What is <b>consonance</b>?","Sounds that are stable and pleasing; notes that ""come together""","lesson::001 type::vocabulary topic::expression"
"What term describes sounds that are stable, pleasing, and ""come together""?","Consonance","lesson::001 type::vocabulary topic::expression"
"What is <b>dissonance</b>?","Sounds that are tense or unstable; notes that ""don't belong together""","lesson::001 type::vocabulary topic::expression"
"What term describes sounds that are tense, unstable, and ""don't belong together""?","Dissonance","lesson::001 type::vocabulary topic::expression"
"What is <b>modulation</b>?","Changing from one key to another within a piece of music","lesson::001 type::vocabulary topic::expression"
"What is the term for changing from one key to another within a piece?","Modulation","lesson::001 type::vocabulary topic::expression"
"What is an <b>interval</b>?","The distance between two notes","lesson::001 type::vocabulary topic::intervals"
"What do we call the distance between two notes?","An interval","lesson::001 type::vocabulary topic::intervals"
"What is a <b>triad</b>?","A chord made of 3 notes, built by stacking two thirds","lesson::001 type::vocabulary topic::triads"
"What is a 3-note chord built by stacking two thirds called?","A triad","lesson::001 type::vocabulary topic::triads"
"What does <b>enharmonic</b> mean?","Two different note names for the same pitch (e.g., F♯ = G♭)","lesson::001 type::vocabulary topic::basics"
"What term describes two different note names for the same pitch (e.g., F♯ and G♭)?","Enharmonic","lesson::001 type::vocabulary topic::basics"
"What is the whole/half step pattern for a <b>major scale</b>?","W-W-H-W-W-W-H","lesson::001 type::concept topic::scales"
"Between which scale degrees do half steps occur in a <b>major</b> scale?","3–4 and 7–8","lesson::001 type::concept topic::scales"
"In C major, which notes have half steps between them?","E→F (degrees 3→4) and B→C (degrees 7→8)","lesson::001 type::concept topic::scales"
"Between which scale degrees do half steps occur in a <b>natural minor</b> scale?","2–3 and 5–6","lesson::001 type::concept topic::scales"
"In A minor, which notes have half steps between them?","B→C (degrees 2→3) and E→F (degrees 5→6)","lesson::001 type::concept topic::scales"
"On which scale degree does the relative minor begin?","The 6th degree of the major scale","lesson::001 type::concept topic::keys"
"What is the relative minor of C major?","A minor (both have no sharps or flats)","lesson::001 type::concept topic::keys"
"What two parts make up an interval's name?","A <b>number</b> (3rd, 5th, etc.) and a <b>quality</b> (Major, minor, Perfect)","lesson::001 type::concept topic::intervals"
"How do you determine an interval's <b>number</b> (2nd, 3rd, 5th, etc.)?","Count the letter names, including both starting and ending notes","lesson::001 type::concept topic::intervals"
"How do you determine an interval's <b>quality</b> (Major, minor, Perfect)?","Count the exact number of half steps","lesson::001 type::concept topic::intervals"
"Which intervals can be <b>Major</b> or <b>minor</b>?","2nds, 3rds, 6ths, and 7ths","lesson::001 type::concept topic::intervals"
"Which intervals can be <b>Perfect</b>?","Unison, 4ths, 5ths, and octaves","lesson::001 type::concept topic::intervals"
"How many half steps in a <b>minor 2nd</b> (m2)?","1 half step","lesson::001 type::concept topic::intervals"
"How many half steps in a <b>Major 2nd</b> (M2)?","2 half steps","lesson::001 type::concept topic::intervals"
"How many half steps in a <b>minor 3rd</b> (m3)?","3 half steps","lesson::001 type::concept topic::intervals"
"How many half steps in a <b>Major 3rd</b> (M3)?","4 half steps","lesson::001 type::concept topic::intervals"
"How many half steps in a <b>Perfect 4th</b> (P4)?","5 half steps","lesson::001 type::concept topic::intervals"
"How many half steps in a <b>tritone</b> (augmented 4th / diminished 5th)?","6 half steps","lesson::001 type::concept topic::intervals"
"How many half steps in a <b>Perfect 5th</b> (P5)?","7 half steps","lesson::001 type::concept topic::intervals"
"How many half steps in a <b>minor 6th</b> (m6)?","8 half steps","lesson::001 type::concept topic::intervals"
"How many half steps in a <b>Major 6th</b> (M6)?","9 half steps","lesson::001 type::concept topic::intervals"
"How many half steps in a <b>minor 7th</b> (m7)?","10 half steps","lesson::001 type::concept topic::intervals"
"How many half steps in a <b>Major 7th</b> (M7)?","11 half steps","lesson::001 type::concept topic::intervals"
"How many half steps in a <b>Perfect octave</b> (P8)?","12 half steps","lesson::001 type::concept topic::intervals"
"What interval has 1 half step?","minor 2nd (m2)","lesson::001 type::concept topic::intervals"
"What interval has 3 half steps?","minor 3rd (m3)","lesson::001 type::concept topic::intervals"
"What interval has 4 half steps?","Major 3rd (M3)","lesson::001 type::concept topic::intervals"
"What interval has 5 half steps?","Perfect 4th (P4)","lesson::001 type::concept topic::intervals"
"What interval has 7 half steps?","Perfect 5th (P5)","lesson::001 type::concept topic::intervals"
"What is the formula for a <b>Major triad</b>?","M3 + m3 (Major 3rd on bottom, minor 3rd on top)","lesson::001 type::concept topic::triads"
"What is the formula for a <b>minor triad</b>?","m3 + M3 (minor 3rd on bottom, Major 3rd on top)","lesson::001 type::concept topic::triads"
"What is the formula for a <b>diminished triad</b>?","m3 + m3 (two minor 3rds stacked)","lesson::001 type::concept topic::triads"
"What is the formula for an <b>augmented triad</b>?","M3 + M3 (two Major 3rds stacked)","lesson::001 type::concept topic::triads"
"Which triad type sounds bright, happy, and stable?","Major triad","lesson::001 type::concept topic::triads"
"Which triad type sounds dark, sad, and introspective?","Minor triad","lesson::001 type::concept topic::triads"
"Which triad type sounds tense, unstable, and wanting to resolve?","Diminished triad","lesson::001 type::concept topic::triads"
"Which triad type sounds mysterious, dreamlike, and suspended?","Augmented triad","lesson::001 type::concept topic::triads"
"A triad with formula M3 + m3 is what type?","Major triad","lesson::001 type::concept topic::triads"
"A triad with formula m3 + M3 is what type?","Minor triad","lesson::001 type::concept topic::triads"
"A triad with formula m3 + m3 is what type?","Diminished triad","lesson::001 type::concept topic::triads"
"A triad with formula M3 + M3 is what type?","Augmented triad","lesson::001 type::concept topic::triads"
"Why are intervals called ""absolute measurements""?","The number of half steps stays constant no matter what key you're in (e.g., a Perfect 5th is always 7 half steps)","lesson::001 type::concept topic::intervals"
"Memory tip: How can you remember which interval is on the bottom of a Major vs. minor triad?","Major triads have the ""bigger"" interval (M3) on bottom; minor triads have the ""smaller"" interval (m3) on bottom","lesson::001 type::concept topic::triads"
